,query_no,query,question_rank,question,click_history,class_gold_1,class_gold_2,class_gold_3
101,5,Metoprolol,7,Am I having a stroke or anxiety?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?', 'Should I take metoprolol in the morning or at night?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'Are there signs months before a stroke?', 'How to test for stroke at home?']",0,0,1
109,6,Albuterol,5,How do I check myself for pneumonia?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?', 'What does a pneumonia cough sound like?', 'What is a COVID cough?', 'What are signs of walking pneumonia?']",0,1,0
130,7,Losartan,6,Can losartan cause hair loss?,"['Can losartan cause a cough?', 'What are the two worst blood pressure medications?', 'What is the safest blood pressure pill?', 'Is losartan safe?', 'Which is safer, lisinopril or losartan?', 'What are the most common side effects of losartan?']",0,0,1
175,9,Gabapentin,1,Is gabapentin a very strong painkiller?,['What is gabapentin mainly prescribed for?'],0,1,0
310,16,Amphetamine Aspartate,6,What are the cons of taking Adderall every day?,"['What is the generic for Adderall 20 mg?', 'Does Adderall give you energy?', 'Can Adderall help with anxiety?', 'Does Adderall stop overthinking?', 'Who should not take Adderall?', 'What is the number one side effect of Adderall?']",0,0,1
316,16,Amphetamine Aspartate,2,How long does 30mg Adderall last?,"['Is amphetamine aspartate the same as Adderall?', 'What brand is amphetamine aspartate amphetamine sulfate?']",0,0,1
516,26,Hydrocodone,8,Why is gabapentin bad?,"['Does hydrocodone make you sleep?', 'What makes you more sleepy, oxycodone or hydrocodone?', 'Which is stronger, hydrocodone or tramadol?', 'What can I take with hydrocodone?', 'What foods not to eat with hydrocodone?', 'Does hydrocodone cause constipation?', 'What is gabapentin used for?', 'What is the strongest drug for nerve pain?']",1,0,0
658,34,Duloxetine,0,Is duloxetine ssri or SNRI?,[],0,0,1
680,35,Methylphenidate,2,What will give me energy like Adderall?,"['What is the strongest ADHD medication?', 'What ADHD med is stronger than Adderall?']",0,1,0
698,36,Ibuprofen,0,Can I take 2 ibuprofen 400 mg at once?,[],0,1,0
745,38,Potassium Chloride,7,What do cardiologists eat for breakfast?,"['What are the side effects of potassium chloride?', 'Is it safe to take potassium chloride while pregnant?', 'Does potassium chloride raise blood pressure?', 'What drink is high in potassium?', 'Is 1 banana a day enough potassium?', 'What is the number one fruit to lower blood pressure?', 'What is the best breakfast for high blood pressure?']",1,0,0
811,44,Alprazolam,3,Can I take alprazolam only when needed?,"['Is alprazolam the same as Xanax?', 'Why is alprazolam banned?', 'Who cannot take alprazolam?']",0,1,0
862,47,Venlafaxine,0,Why has venlafaxine been discontinued in the US?,[],1,0,0
1031,55,Spironolactone,9,How many bananas can I eat on spironolactone?,"[""What's the difference between furosemide and spironolactone?"", 'Can I take spironolactone without furosemide?', 'What cannot be mixed with spironolactone?', 'What cancels out spironolactone?', 'What is a natural remedy for spironolactone?', 'What to do instead of spironolactone?', 'Why do people not like spironolactone?', 'How to wean off spironolactone?', 'When should spironolactone be stopped?']",0,1,0
1300,69,Latanoprost,1,How much is generic latanoprost?,['Is there a generic for latanoprost?'],0,0,1
1325,70,Doxycycline,6,What temperature kills bacteria in a washing machine?,"['Is doxycycline good for staph infection?', 'How quickly does doxycycline work for staph?', 'What causes staph infection?', 'How did I catch staph infection?', 'How long can staph live on bedding?', 'What laundry detergent kills staph?']",0,0,1
1346,71,Lisdexamfetamine,7,Why do people with ADHD sit strangely?,"['Can lisdexamfetamine cause diarrhea?', 'What foods should you avoid while taking Vyvanse?', 'What is the best breakfast for ADHD adults?', 'Do people with ADHD need frequent breaks?', 'What conditions often coexist with ADHD?', 'What are the annoying behaviors of ADHD?', 'What sounds do people with ADHD hate?']",1,0,0
1467,77,Insulin Aspart,8,What is emotional diabetes?,"['Are NovoLog and insulin aspart the same?', 'Are there different types of NovoLog?', 'Which insulin is best for diabetes?', 'What insulin lowers blood sugar fastest?', 'How to bring blood sugar down without insulin immediately?', 'How to reverse diabetes permanently?', 'What is the #1 cause of diabetes?', 'Can stress cause diabetes?']",1,0,0
1485,78,Propranolol,6,How to sleep on propranolol?,"['Is propranolol good for migraines?', ""Who shouldn't take propranolol?"", 'Can propranolol help you sleep?', 'Does propranolol stop fight or flight?', 'What are the positive effects of propranolol?', 'What are the bad things about propranolol?']",0,0,1
1533,81,Ethinyl Estradiol,4,How long can sperm live inside a woman on birth control?,"['Is Yaz ethinyl estradiol?', 'Does Yaz stop your period?', 'Which birth control stops periods?', 'Can he finish in you on birth control?']",0,0,1
1576,83,Lorazepam,7,Why don't doctors prescribe lorazepam?,"['Is lorazepam safe in pregnancy?', 'Who should avoid lorazepam?', 'What should you not mix with lorazepam?', 'What can reverse lorazepam?', 'What are the most common side effects of lorazepam?', 'What does it feel like to be on lorazepam?', 'Can you take lorazepam as needed?']",1,0,0
1706,93,Rivaroxaban,7,Can you wear compression socks while on blood thinners?,"['What is the difference between Xarelto and rivaroxaban?', 'Is rivaroxaban generic for Xarelto?', 'Does Xarelto cause muscle weakness?', 'What is the disadvantage of rivaroxaban?', 'What not to do on rivaroxaban?', 'What is the best position to sleep in to prevent blood clots?', 'How fast does a blood clot travel from the leg to the lungs?']",0,0,1
1732,94,Pregabalin,3,Why won't my doctor prescribe pregabalin?,"['Why are doctors reluctant to prescribe pregabalin?', 'Is pregabalin still prescribed?', 'What to monitor when taking pregabalin?']",1,0,0
1834,99,Clavulanate,5,How quickly will Amox Clav work?,"['Is amoxicillin Clav a strong antibiotic?', 'Can amoxicillin cause mouth sores?', 'What is the biggest side effect of amoxicillin?', 'What are the side effects of amoxicillin Clav?', 'What is the success rate of amoxicillin-clavulanate?']",0,0,1
1903,103,Cephalexin,4,Why don't doctors prescribe cephalexin?,"['Can I drink alcohol while taking cephalexin?', 'Does cephalexin make you tired?', 'What happens to your body when you take cephalexin?', 'Who should avoid cephalexin?']",1,0,0
1906,103,Cephalexin,7,What is the king of antibiotics?,"['Can I drink alcohol while taking cephalexin?', 'Does cephalexin make you tired?', 'What happens to your body when you take cephalexin?', 'Who should avoid cephalexin?', ""Why don't doctors prescribe cephalexin?"", 'What is the strongest antibiotic for bacterial infection?', 'What are the big 3 antibiotics?']",1,0,0
2173,116,Dapagliflozin,4,What gets mistaken for balanitis?,"['Can dapagliflozin cause thrush?', 'Can dapagliflozin cause balanitis?', 'Why does my boyfriend keep getting balanitis?', 'What does a balanitis look like?']",0,0,1
2208,118,Valsartan,9,What happens if I take 2 meloxicam 15 mg?,"['What should you avoid when taking valsartan?', 'Can I take meloxicam with valsartan?', 'What blood pressure meds should not be taken with meloxicam?', 'Which is better for arthritis, meloxicam or Celebrex?', 'Should I take meloxicam at night or in the morning?', 'Does meloxicam affect sleep?', 'What is 15 mg of meloxicam equivalent to?', 'Who should not take meloxicam?', ""What doesn't mix with meloxicam?""]",0,1,0
2340,125,Azelastine,1,Why can't kids use nasal spray?,['Is azelastine safe for kids?'],1,0,0
2380,127,Methocarbamol,1,How long after taking a muscle relaxer can I drink alcohol?,['Can you drink alcohol while taking methocarbamol?'],0,1,0
2545,136,Prednisolone,5,How to flush prednisone out of your system?,"['What is prednisolone mainly used for?', 'Can prednisolone cause bruising?', 'What to avoid while taking prednisone?', 'Why do I feel so good on prednisone?', 'How long does a moon face last after prednisone?']",0,1,0
2561,137,Thyroid,1,What is the first stage of the thyroid?,['What are early warning signs of thyroid problems?'],1,0,0
2612,140,Morphine,2,How many milligrams of morphine for pain relief?,"['Is morphine a very strong painkiller?', 'Which painkiller is stronger, morphine or tramadol?']",0,1,0
2633,141,Enalapril,3,What BP med goes well with losartan?,"['What are the side effects of enalapril?', 'Can I take atenolol and enalapril together?', 'Can losartan be given with enalapril?']",0,0,1
2752,147,Donepezil,0,Why was donepezil discontinued?,[],1,0,0
2797,149,Docusate,5,How long is dangerously constipated?,"['How long does it take to poop after taking docusate?', 'Can you take docusate and lactulose together?', 'What is the best laxative for fecal impaction?', ""How do you tell if it's constipation or a blockage?"", 'What are the four stages of constipation?']",0,1,0
2827,151,Memantine,5,How do nursing homes keep dementia patients in bed at night?,"['Who should avoid memantine?', 'Can you take traZODone and donepezil together?', 'Why is trazodone given to people with dementia?', 'What is the best sleep med for elderly with dementia?', 'What nighttime habit could be indicator of dementia?']",0,0,1
2942,157,Clobetasol,0,Can clobetasol propionate be used on private parts?,[],0,1,0
2977,158,Sildenafil,5,At what age are men best in bed?,"['How long does it take for sildenafil to kick in?', 'How to tell if a man is taking Viagra?', 'At what age do men usually need Viagra?', 'What is the female equivalent of erectile dysfunction?', 'At what age does a woman stop ejaculating?']",1,0,0
3028,161,Fluconazole,6,What not to do when you have a yeast infection?,"['Can fluconazole be used by men?', 'What is the best pill for a male yeast infection?', 'Does fluconazole cause dizziness?', 'How long does fluconazole stay in your system?', 'What is the one day treatment for yeast infection?', 'How did I get a yeast infection?']",0,0,1
3055,162,Desogestrel,3,How to know if a girl is taking birth control pills?,"['What are the disadvantages of the desogestrel pill?', 'Can desogestrel cause itchy skin?', 'What are the side effects of Daphne pills?']",1,0,0
3059,162,Desogestrel,7,How to confirm whether sperm went inside?,"['What are the disadvantages of the desogestrel pill?', 'Can desogestrel cause itchy skin?', 'What are the side effects of Daphne pills?', 'How to know if a girl is taking birth control pills?', 'What are the disadvantages of the mini pill?', 'When is the best time to take birth control pills, morning or night?', 'Can he finish in you on birth control pills?']",1,0,0
3101,164,Ropinirole,9,Why can't I get up off the floor?,"['What does ropinirole do for you?', 'How quickly does ropinirole work for restless legs?', 'How to stop restless legs immediately in bed?', 'Does putting a pillow between your legs help with RLS?', 'What deficiency causes leg pain at night?', 'What disease starts with leg pain?', 'What disease attacks your legs?', 'What are weak legs a symptom of?', 'Why do I have trouble walking after sitting?']",1,0,0
3104,165,Nirmatrelvir,2,Why is Paxlovid not covered by insurance?,"['What does the drug Nirmatrelvir do?', 'What foods should I avoid while taking Paxlovid?']",1,0,0
3177,168,Codeine,5,How to make your doctor give you pain meds?,"['Is codeine a strong opioid?', 'Is codeine stronger than oxycodone?', 'Is Tylenol with codeine the same as Percocet?', 'What is roxicodone?', 'What does Roxicodone feel like?']",0,1,0
3260,172,Olanzapine,8,What drugs don't show up on a urine test?,"['Is olanzapine a strong sedative?', 'How long does it take for olanzapine to sedate?', 'Does olanzapine help with anxiety?', ""What happens if you take olanzapine and don't need it?"", 'Is 5mg olanzapine a lot?', 'How long does 5mg of olanzapine stay in your system?', 'Will olanzapine make you fail a drug test?', 'What psych meds cause false-positive drug tests?']",0,1,0
3436,182,Risperidone,4,What foods interfere with risperidone?,"['What is risperidone mainly used for?', 'Can you take Vyvanse and risperidone together?', 'What cannot be taken with risperidone?', ""Why can't you take risperidone with coke?""]",0,0,1
3456,183,Torsemide,4,What is the fastest way to get fluid out of your lungs?,"['Is torsemide a strong water pill?', 'Can you take torsemide and hydrochlorothiazide together?', 'How long does it take for torsemide to reduce swelling?', 'How long does it take for a diuretic to remove fluid from the lungs?']",0,1,0
3526,186,Ramipril,4,What is the lowest resting heart rate that is safe?,"['What is the main side effect of ramipril?', 'Can I take bisoprolol and ramipril at the same time?', ""What's the difference between bisoprolol and ramipril?"", 'What is an acceptable heart rate on beta blockers?']",0,0,1
3539,187,Verapamil,7,What is the miracle drug for hair growth?,"['Can verapamil be used for migraines?', 'Is verapamil safe in pregnancy?', 'Does verapamil cause infertility?', 'Does verapamil affect periods?', 'Is hair loss a side effect of verapamil?', 'Which blood pressure pills cause hair loss?', 'What blood pressure pill grows hair?']",1,0,0
3564,188,Linaclotide,2,Why does Linzess cause weight gain?,"['What are the side effects of linaclotide?', 'Can Linzess cause headaches?']",0,0,1
3610,190,Nortriptyline,8,Can you take nortriptyline as needed?,"['Does nortriptyline make you gain weight?', 'Does nortriptyline cause heartburn?', 'Is anger a side effect of nortriptyline?', 'What are the positive effects of nortriptyline?', 'How do you feel on nortriptyline?', 'How to tell if nortriptyline is working?', 'How often should I check nortriptyline levels?', 'Why is my nortriptyline not working?']",0,1,0
3615,191,Insulin Human,3,Why do doctors no longer prescribe metformin?,"['What kind of insulin is human?', 'What are the four types of insulin?', 'Is metformin an insulin?']",1,0,0
3639,192,Insulin Isophane Human,7,Which insulin is closest to human insulin?,"['What type of insulin is isophane?', 'What class of insulin is Humulin?', 'What insulin is the same as HUMULIN?', 'What is the generic name for HUMULIN insulin?', 'What is the other name for isophane insulin?', 'What is the difference between insulin and isophane?', 'What type of insulin is human actrapid?']",0,0,1
3649,192,Insulin Isophane Human,7,How much insulin do I need if my sugar is 300?,"['What is the human brand of insulin isophane?', 'Is insulin lispro humalog?', 'What type of insulin is human actrapid?', 'What is the difference between human Actrapid and Humalog insulin?', 'Which insulin is best for diabetes?', 'What is isophane insulin?', 'Is 20 units of insulin a lot?']",0,1,0
3699,195,Bimatoprost,7,How to use ginger for eyesight?,"['Is bimatoprost good for glaucoma?', 'What are the safest eye drops for glaucoma?', 'What is the best thing you can do to stop glaucoma from getting worse?', 'What habits worsen glaucoma?', 'Does watching TV make glaucoma worse?', 'What is the 20 20 20 rule?', 'How to relax your eyes home remedy?']",1,0,0
3727,196,Nitroglycerin,5,What can I take if I don't have nitroglycerin?,"['What is the most serious side effect of nitroglycerin?', 'How to use nitroglycerin ointment for fissures?', 'How fast does nitroglycerin ointment work?', 'Is nitroglycerin ointment safe?', 'What is a natural alternative to nitroglycerin ointment?']",0,1,0
3758,198,Promethazine,6,What is a promethazine pill over the counter?,"['Do promethazine have codeine in it?', 'What is comparable to promethazine with codeine?', 'Why do doctors prescribe promethazine with codeine?', 'Why is promethazine a high risk medication?', 'What patients get promethazine?', 'Do doctors still prescribe promethazine?']",1,0,0
3835,42,Allopurinol,3,Why did I suddenly get gout?,"['What class of drug is allopurinol?', 'What causes high uric acid?', 'What is the root cause of gout?']",0,0,1
3872,44,Alprazolam,0,Is alprazolam a sleeping pill?,[],0,1,0
